PI,Code,Name,Division
Prof. Anurag Agarwal,A-aa406-2,The Sound of Trouble: Intelligent Fault Prediction from Audio Data,A
Prof. Ozgur Akan,B-oba21-1,Fundamentals of Smell-based Communications,B
Prof. Ozgur Akan,B-oba21-2,Cooperative THz ISAC for Positioning in LEO Satellite Systems,B
Prof. Ozgur Akan,B-oba21-3,Through-the-Wall Sensing via Wireless Communications,B
Prof. Ozgur Akan,B-oba21-4,Spectrum Sensing with Deep Learning for Cognitive Radio,B
Dr Tom Bashford,C-tb508-1,Follow Up Technology Usability and Readiness Evaluation (FUTURE),C
Dr Tom Bashford,C-tb508-2,EyeVu,C
Dr Tore Butlin,C-tb267-1,A copilot for vibration analysis,C
Dr Tore Butlin,C-tb267-3,Energy harvesting for biomedical devices,C
Dr George Cantwell,F-gtc31-1,Entropy and random networks,F
Dr George Cantwell,F-gtc31-2,Collective motion in high dimensions,F
Prof. Daping Chu,B-dpc31-1,Free space optical computing,B
Prof. Daping Chu,B-dpc31-2,Tunable Metasurface,B
Prof. Daping Chu,B-dpc31-3,Augmented Reality (AR) immersive Head Up Display (iHUD),B
Dr Alice Cicirello,C-ac685-1,Laboratory Benchmark for Physics-Enhanced Machine Learning,C
Dr Alice Cicirello,C-ac685-2,From text to Graph Neural Networks of dynamical systems,C
Dr Alice Cicirello,C-ac685-3,Machine Learning approaches to flight trajectory planning under uncertainty and multi-modal data (with BOEING),C
Prof. Roberto Cipolla,F-rc10001-2,Building a food diary mobile phone app using computer vision,F
Prof. Roberto Cipolla,F-rc10001-3,Body composition using a mobile phone camera,F
Prof. Roberto Cipolla,F-rc10001-4,Muscle frailty evaluation using a mobile phone camera,F
Prof. Tim Coombs,B-tac1000-2,Robot design,B
Prof. Tim Coombs,B-tac1000-3,Robot Navigation,B
Dr Paul Cosgrove,A-pmc55-4,Radiative models for lightning,A
Dr Paul Cosgrove,A-pmc55-5,Improved nuclear data representation in Monte Carlo neutron transport,A
Dr John Dudley,F-jjd50-1,Individual Reachability Modelling and Adaptation for Accessible Interaction in VR,F
Dr John Dudley,F-jjd50-2,Delivering 'Just-in-Time' User Support,F
