PI,Code,Name,Division
Prof. Anurag Agarwal,A-aa406-1,"The Boiling Symphony: Sound, Heat, and Hidden Physics",A
Prof. Anurag Agarwal,A-aa406-2,The Sound of Trouble: Intelligent Fault Prediction from Audio Data,A
Prof. Anurag Agarwal,A-aa406-3,Silent Flow: Engineering low-noise solutions for next-gen HVAC systems,A
Prof. Anurag Agarwal,A-aa406-4,"Unsteady Aerodynamics and Acoustic Signatures of Football Striking: Linking Flight Stability, Surface Texture, and Sound",A
Prof. Ozgur Akan,B-oba21-1,Fundamentals of Smell-based Communications,B
Prof. Ozgur Akan,B-oba21-2,Cooperative THz ISAC for Positioning in LEO Satellite Systems,B
Prof. Ozgur Akan,B-oba21-3,Through-the-Wall Sensing via Wireless Communications,B
Prof. Ozgur Akan,B-oba21-4,Spectrum Sensing with Deep Learning for Cognitive Radio,B
Prof. Julian Allwood,D-jma42-1,Car shredding,D
Prof. Julian Allwood,D-jma42-2,Optimal design of minimum mass buildings,D
Prof. Julian Allwood,D-jma42-3,Hollow bolts,D
Dr Nick Atkins,A-nra27-1,Exploring optimal coupling for transient fluid-solid simulations.,A
Dr Nick Atkins,A-nra27-2,Investigating the scale-by-scale decomposition of turbulence,A
Prof. Holger Babinsky,A-hb209-1,Cross-wind effects on aircraft engine inlets,A
Prof. Holger Babinsky,A-hb209-2,Control of shock-wave/boundary-layer interactions,A
Prof. Holger Babinsky,A-hb209-3,Road Freight Vehicle Aerodynamics,A
Prof. Holger Babinsky,A-hb209-4,Unsteady wing flows and gust encounters,A
Dr Tom Bashford,C-tb508-1,Follow Up Technology Usability and Readiness Evaluation (FUTURE),C
Dr Tom Bashford,C-tb508-2,EyeVu,C
Dr Jurgen Becque,D-jab311-1,Measuring the full yield surface of metals using notched tensile tests,D
Dr Jurgen Becque,D-jab311-2,Designing stainless steel structural members using advanced inelastic stability analysis,D
Dr Jurgen Becque,D-jab311-3,Instability of plates with very high slenderness,D
Dr Jurgen Becque,D-jab311-4,A blueprint for an improved European design approach for thin-walled structural members,D
Prof. Ioannis Brilakis,D-ib340-1,Developing Standards for Information Integration in Digital Twin Systems for UK Roads' Non-Pavement Assets,D
Prof. Ioannis Brilakis,D-ib340-2,Digital Twins for Sustainable Roads: Data-Driven CO2 Emission Analysis and Mapping,D
Prof. Ioannis Brilakis,D-ib340-3,Feasibility Analysis of Integrating Digital Twin Technology for Road Maintenance and Information Management,D
Prof. Ioannis Brilakis,D-ib340-4,Artificial Intelligence for Adaptive Construction Scheduling and Planning,D
Prof. Ioannis Brilakis,D-ib340-5,Interactive Quality Assessment of Construction Projects,D
Prof. Ioannis Brilakis,D-ib340-6,Digital Twin Model Enrichment for Existing Buildings,D
Dr James Brind,A-jb753-1,Rapid turbomachinery design using CFD,A
Dr James Brind,A-jb753-2,Measurement of acoustic boundary conditions for gas turbine combustors,A
Dr Tore Butlin,C-tb267-1,A copilot for vibration analysis,C
Dr Tore Butlin,C-tb267-2,Nonlinearity in tuning forks,C
Dr Tore Butlin,C-tb267-3,Energy harvesting for biomedical devices,C
Dr Tore Butlin,C-tb267-4,Engineering Protection for Ancient Trees,C
